# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.643411531570e-10       7.585749202504e-15       2.379994499291e-13       0.000000000000e+00       9.090134195842e-11       9.289448354297e-12      -8.353731633311e-15 
   41       1.666911219684e-10       8.236662447786e-15       2.283032716884e-13       0.000000000000e+00       8.639338058298e-11       8.886295844677e-12      -6.282428229198e-15 
   42       1.691211409287e-10       8.924605780922e-15       2.177489316404e-13       0.000000000000e+00       8.218481789412e-11       8.484621006307e-12      -5.725176323641e-15 
   43       1.716229337032e-10       9.648594165198e-15       2.059639786444e-13       0.000000000000e+00       7.825000562114e-11       8.128126408937e-12      -5.910570853638e-15 
   44       1.740317952009e-10       1.040909000746e-14       1.929043372773e-13       0.000000000000e+00       7.456606101054e-11       7.788174610056e-12      -6.883300796023e-15 
   45       1.765189448859e-10       1.120744029310e-14       1.785669825725e-13       0.000000000000e+00       7.111352006745e-11       7.451663970732e-12      -8.645017788116e-15 
   46       1.790317893286e-10       1.204332322969e-14       1.625913254038e-13       0.000000000000e+00       6.787245650935e-11       7.154920003389e-12      -1.026974871877e-14 
   47       1.815666469920e-10       1.291655389780e-14       1.448341207620e-13       0.000000000000e+00       6.482872933545e-11       6.889353231567e-12      -1.145155604894e-14 
   48       1.841479036118e-10       1.382703382614e-14       1.252352316718e-13       0.000000000000e+00       6.196523453200e-11       6.631925263438e-12      -1.212847422855e-14 
   49       1.867429016996e-10       1.477454617297e-14       1.037195607874e-13       0.000000000000e+00       5.926988252604e-11       6.377149159199e-12      -1.227004483000e-14 
