# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.09048 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349719255559e-02       2.594734367654e+04 
       1.362617606937e-02       2.599327033276e+04 
       1.375519589685e-02       2.603582811731e+04 
       1.388425215102e-02       2.607727418726e+04 
       1.401334496787e-02       2.611681555195e+04 
       1.414247450610e-02       2.615449105108e+04 
       1.427164094672e-02       2.619007928126e+04 
       1.440084449281e-02       2.622305200600e+04 
       1.453008536920e-02       2.625354858622e+04 
       1.465936382227e-02       2.628130255006e+04 
       1.478868011971e-02       2.630828212049e+04 
       1.491803455037e-02       2.633363174877e+04 
       1.504742742409e-02       2.635624223740e+04 
       1.517685907158e-02       2.637576442591e+04 
       1.530632984432e-02       2.639546555997e+04 
       1.543584011446e-02       2.641237401948e+04 
       1.556539027480e-02       2.642650578005e+04 
       1.569498073875e-02       2.644009722721e+04 
       1.582461194029e-02       2.645145357661e+04 
       1.595428433402e-02       2.646086050820e+04 
       1.608399839517e-02       2.646760812574e+04 
       1.621375461966e-02       2.647448057662e+04 
       1.634355352415e-02       2.647747953641e+04 
       1.647339564617e-02       2.647978135694e+04 
       1.660328154418e-02       2.648043148069e+04 
       1.673321179773e-02       2.647936743542e+04 
       1.686318700760e-02       2.647665714065e+04 
       1.699320779596e-02       2.647236224479e+04 
       1.712327480652e-02       2.646694440854e+04 
       1.725338870479e-02       2.645863178806e+04 
       1.738355017823e-02       2.644975784404e+04 
       1.751375993652e-02       2.643909352741e+04 
       1.764401871177e-02       2.642779020450e+04 
       1.777432725885e-02       2.641308563872e+04 
       1.790468635558e-02       2.639839772264e+04 
       1.803509680311e-02       2.638159641263e+04 
       1.816555942619e-02       2.636377861180e+04 
       1.829607507349e-02       2.634430578789e+04 
       1.842664461801e-02       2.632323060062e+04 
       1.855726895735e-02       2.630113025261e+04 
       1.868794901416e-02       2.627837290507e+04 
       1.881868573654e-02       2.625345168336e+04 
       1.894948009841e-02       2.622718824977e+04 
       1.908033309995e-02       2.619941015268e+04 
       1.921124576811e-02       2.617043993722e+04 
       1.934221915700e-02       2.614051340850e+04 
       1.947325434841e-02       2.610992038380e+04 
       1.960435245232e-02       2.607750109290e+04 
       1.973551460742e-02       2.604343507425e+04 
       1.986674198163e-02       2.600875786050e+04 
       1.999803577270e-02       2.597286166834e+04 
       2.012939720874e-02       2.593620164800e+04 
       2.026082754887e-02       2.589746891323e+04 
       2.039232808380e-02       2.585912905208e+04 
       2.052390013650e-02       2.581803748249e+04 
       2.065554506286e-02       2.577671056223e+04 
       2.078726425236e-02       2.573429447532e+04 
       2.091905912878e-02       2.569087378090e+04 
       2.105093115094e-02       2.564655149685e+04 
       2.118288181345e-02       2.560110571084e+04 
       2.131491264749e-02       2.555485753820e+04 
       2.144702522161e-02       2.550822066270e+04 
       2.157922114255e-02       2.545929114629e+04 
       2.171150205612e-02       2.541023345895e+04 
       2.184386964803e-02       2.536016216299e+04 
       2.197632564488e-02       2.530986389105e+04 
       2.210887181502e-02       2.525757826519e+04 
       2.224150996954e-02       2.520494076572e+04 
       2.237424196329e-02       2.515148876530e+04 
       2.250706969590e-02       2.509727223791e+04 
       2.263999511282e-02       2.504223450605e+04 
       2.277302020643e-02       2.498641908834e+04 
       2.290614701716e-02       2.492992615891e+04 
       2.303937763466e-02       2.487302687510e+04 
       2.317271419900e-02       2.481448823756e+04 
       2.330615890190e-02       2.475573731549e+04 
       2.343971398802e-02       2.469633054623e+04 
       2.357338175625e-02       2.463668357772e+04 
       2.370716456110e-02       2.457537854357e+04 
       2.384106481409e-02       2.451387899539e+04 
       2.397508498518e-02       2.445177044678e+04 
       2.410922760429e-02       2.438910977862e+04 
       2.424349526280e-02       2.432571430239e+04 
       2.437789061519e-02       2.426178320414e+04 
       2.451241638065e-02       2.419731829934e+04 
       2.464707534478e-02       2.413239680161e+04 
       2.478187036134e-02       2.406644474490e+04 
       2.491680435405e-02       2.400030853674e+04 
       2.505188031847e-02       2.393357445338e+04 
       2.518710132393e-02       2.386637674821e+04 
       2.532247051550e-02       2.379877745127e+04 
       2.545799111608e-02       2.373041714783e+04 
       2.559366642850e-02       2.366208812308e+04 
       2.572949983772e-02       2.359278587269e+04 
       2.586549481314e-02       2.352330386622e+04 
       2.600165491091e-02       2.345329464023e+04 
       2.613798377640e-02       2.338233853246e+04 
       2.627448514668e-02       2.331172027779e+04 
       2.641116285316e-02       2.324038943346e+04 
       2.654802082427e-02       2.316879210998e+04 
       2.668506308823e-02       2.309669534014e+04 
       2.682229377599e-02       2.302418426403e+04 
       2.695971712418e-02       2.295131329222e+04 
       2.709733747825e-02       2.287832771677e+04 
       2.723515929562e-02       2.280483971526e+04 
       2.737318714908e-02       2.273092054481e+04 
       2.751142573021e-02       2.265698246169e+04 
       2.764987985295e-02       2.258247893594e+04 
       2.778855445734e-02       2.250795751466e+04 
       2.792745461334e-02       2.243297023509e+04 
       2.806658552487e-02       2.235779802365e+04 
       2.820595253390e-02       2.228222956598e+04 
       2.834556112483e-02       2.220634954998e+04 
       2.848541692888e-02       2.213044010950e+04 
       2.862552572884e-02       2.205406695744e+04 
       2.876589346380e-02       2.197772905864e+04 
       2.890652623423e-02       2.190095224446e+04 
       2.904743030719e-02       2.182417910833e+04 
       2.918861212176e-02       2.174710502818e+04 
       2.933007829468e-02       2.167002678612e+04 
       2.947183562624e-02       2.159238647750e+04 
       2.961389110639e-02       2.151485887728e+04 
       2.975625192113e-02       2.143706122934e+04 
       2.989892545914e-02       2.135928779474e+04 
       3.004191931872e-02       2.128113521929e+04 
       3.018524131497e-02       2.120293510443e+04 
       3.032889948734e-02       2.112464516274e+04 
       3.047290210748e-02       2.104619983958e+04 
       3.061725768742e-02       2.096786903121e+04 
       3.076197498811e-02       2.088897709754e+04 
       3.090706302839e-02       2.081021745769e+04 
       3.105253109429e-02       2.073136984572e+04 
       3.119838874877e-02       2.065256209241e+04 
       3.134464584196e-02       2.057354754372e+04 
       3.149131252176e-02       2.049440197053e+04 
       3.163839924508e-02       2.041527722127e+04 
       3.178591678944e-02       2.033586599048e+04 
       3.193387626528e-02       2.025670796312e+04 
       3.208228912869e-02       2.017738782656e+04 
       3.223116719496e-02       2.009783729864e+04 
       3.238052265256e-02       2.001854447286e+04 
       3.253036807799e-02       1.993906994184e+04 
       3.268071645127e-02       1.985943326889e+04 
       3.283158117224e-02       1.977996501190e+04 
       3.298297607769e-02       1.970046523138e+04 
       3.313491545930e-02       1.962082551142e+04 
       3.328741408265e-02       1.954120936853e+04 
       3.344048720705e-02       1.946165241233e+04 
       3.359415060655e-02       1.938209460020e+04 
       3.374842059198e-02       1.930243857290e+04 
       3.390331403425e-02       1.922299037101e+04 
       3.405884838885e-02       1.914341550681e+04 
       3.421504172176e-02       1.906374281422e+04 
       3.437191273675e-02       1.898420923668e+04 
       3.452948080423e-02       1.890461210101e+04 
       3.468776599180e-02       1.882506497758e+04 
       3.484678909642e-02       1.874566920618e+04 
       3.500657167861e-02       1.866603877430e+04 
       3.516713609854e-02       1.858662391879e+04 
       3.532850555434e-02       1.850723183010e+04 
       3.549070412268e-02       1.842774523167e+04 
       3.565375680184e-02       1.834838280684e+04 
       3.581768955741e-02       1.826904155670e+04 
       3.598252937090e-02       1.818974729290e+04 
       3.614830429135e-02       1.811045727365e+04 
       3.631504349028e-02       1.803130495957e+04 
       3.648277732020e-02       1.795203044986e+04 
       3.665153737695e-02       1.787290958995e+04 
