#scalar perturbations for mode k = 1.000000000000e-04 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:V_x_smg               19:V_x_prime_smg         20:h_prime               21:eta                
       1.002871037082e+00       2.167724488157e-06      -1.203748789133e+00       3.012475233957e-09       1.128955450893e-14       2.822388627233e-14       5.950011319711e-24       5.644777254465e-15      -9.028115918497e-01       3.012475233957e-09       6.011383534121e-01       6.990628032204e-01      -1.203748789133e+00       3.012475232606e-09       4.028935993110e-10      -9.028115918497e-01       3.012475236752e-09       6.753717785112e-47       2.024033060558e-46       1.000664532197e-08       9.999999996667e-01 
       1.003906028447e+00       2.169965757330e-06      -1.203747325489e+00       3.015574827344e-09       1.132455112120e-14       2.831137780300e-14       5.980804101424e-24       5.662275560601e-15      -9.028104941165e-01       3.015574827344e-09       6.011390591262e-01       6.990631691325e-01      -1.203747325489e+00       3.015574825989e-09       4.037257365992e-10      -9.028104941165e-01       3.015574830147e-09       6.774703730054e-47       2.028433865286e-46       1.001694280195e-08       9.999999996660e-01 
       1.004941019812e+00       2.172207034991e-06      -1.203745912184e+00       3.018674527708e-09       1.135962047284e-14       2.839905118211e-14       6.011724545741e-24       5.679810236422e-15      -9.028094341381e-01       3.018674527708e-09       6.011397538137e-01       6.990635224597e-01      -1.203745912184e+00       3.018674526349e-09       4.045587261230e-10      -9.028094341381e-01       3.018674530520e-09       6.795736764867e-47       2.033035941359e-46       1.002724034369e-08       9.999999996654e-01 
       1.009412175402e+00       2.181889436618e-06      -1.203747444533e+00       3.032084238213e-09       1.151202514257e-14       2.878006285643e-14       6.146813388444e-24       5.756012571285e-15      -9.028105833995e-01       3.032084238213e-09       6.011410192760e-01       6.990631393770e-01      -1.203747444533e+00       3.032084236836e-09       4.081663828528e-10      -9.028105833995e-01       3.032084241063e-09       6.887170189224e-47       2.055232776465e-46       1.007174269669e-08       9.999999996624e-01 
       1.013883330992e+00       2.191571996631e-06      -1.203752816952e+00       3.045503476557e-09       1.166582505156e-14       2.916456262890e-14       6.284341306961e-24       5.832912525780e-15      -9.028146127144e-01       3.045503476557e-09       6.011414126599e-01       6.990617962766e-01      -1.203752816952e+00       3.045503475161e-09       4.117896785046e-10      -9.028146127144e-01       3.045503479445e-09       6.979669492914e-47       2.081306797886e-46       1.011625296665e-08       9.999999996594e-01 
       1.018354486582e+00       2.201254715029e-06      -1.203759330741e+00       3.058925517460e-09       1.182100123793e-14       2.955250309483e-14       6.424327627349e-24       5.910500618965e-15      -9.028194980555e-01       3.058925517460e-09       6.011415468075e-01       6.990601678341e-01      -1.203759330741e+00       3.058925516045e-09       4.154288696196e-10      -9.028194980555e-01       3.058925520386e-09       7.073416759825e-47       2.111346696300e-46       1.016076500550e-08       9.999999996564e-01 
       1.022825642172e+00       2.210937591813e-06      -1.203766039955e+00       3.072347985536e-09       1.197755079117e-14       2.994387697793e-14       6.566800289879e-24       5.988775395587e-15      -9.028245299661e-01       3.072347985536e-09       6.011416364867e-01       6.990584905351e-01      -1.203766039955e+00       3.072347984103e-09       4.190840468648e-10      -9.028245299661e-01       3.072347988501e-09       7.168596294158e-47       2.145449503540e-46       1.020527663837e-08       9.999999996534e-01 
       1.034202508618e+00       2.235576409950e-06      -1.203782093323e+00       3.106498543728e-09       1.238210703001e-14       3.095526757501e-14       6.940750129777e-24       6.191053515003e-15      -9.028365699921e-01       3.106498543728e-09       6.011421153612e-01       6.990544772049e-01      -1.203782093323e+00       3.106498542246e-09       4.284568300617e-10      -9.028365699921e-01       3.106498546792e-09       7.418906607744e-47       2.250691921230e-46       1.031853222495e-08       9.999999996456e-01 
       1.045579375064e+00       2.260216253551e-06      -1.203798121505e+00       3.140648535835e-09       1.279568091717e-14       3.198920229293e-14       7.331556886837e-24       6.397840458586e-15      -9.028485911291e-01       3.140648535835e-09       6.011426024356e-01       6.990504701710e-01      -1.203798121505e+00       3.140648534303e-09       4.379332181002e-10      -9.028485911291e-01       3.140648539001e-09       7.682810714203e-47       2.383286097971e-46       1.043178226185e-08       9.999999996378e-01 
       1.056956241510e+00       2.284857122617e-06      -1.203814209489e+00       3.174798176682e-09       1.321837314492e-14       3.304593286231e-14       7.739785464608e-24       6.609186572461e-15      -9.028606571165e-01       3.174798176682e-09       6.011430743487e-01       6.990464481872e-01      -1.203814209489e+00       3.174798175100e-09       4.475132114297e-10      -9.028606571165e-01       3.174798179953e-09       7.963395810733e-47       2.544111120651e-46       1.054502650332e-08       9.999999996299e-01 
       1.068333107956e+00       2.309499017146e-06      -1.203830387398e+00       3.208947556989e-09       1.365028396811e-14       3.412570992027e-14       8.166013044743e-24       6.825141984054e-15      -9.028727905483e-01       3.208947556989e-09       6.011435247338e-01       6.990424037221e-01      -1.203830387398e+00       3.208947555356e-09       4.571968083173e-10      -9.028727905483e-01       3.208947560367e-09       8.263955136035e-47       2.734455170777e-46       1.065826511964e-08       9.999999996219e-01 
       1.103446550600e+00       2.385559971612e-06      -1.203881992011e+00       3.314347321114e-09       1.504254480293e-14       3.760636200733e-14       9.601405487754e-24       7.521272401467e-15      -9.029114940086e-01       3.314347321114e-09       6.011444917087e-01       6.990295026068e-01      -1.203881992011e+00       3.314347319314e-09       4.877375146532e-10      -9.029114940086e-01       3.314347324836e-09       9.355848648991e-47       3.525772414444e-46       1.100772781286e-08       9.999999995967e-01 
       1.138559993244e+00       2.461630694445e-06      -1.203934764015e+00       3.419745960458e-09       1.652651855026e-14       4.131629637564e-14       1.123207493591e-23       8.263259275128e-15      -9.029510730115e-01       3.419745960458e-09       6.011451585816e-01       6.990163096453e-01      -1.203934764015e+00       3.419745958481e-09       5.192651337934e-10      -9.029510730115e-01       3.419745964547e-09       1.078623993873e-46       4.669604180186e-46       1.135713666131e-08       9.999999995706e-01 
