# Matter power spectrum P(k) at redshift z=0
# for k=1.045e-05 to 1.76212 h/Mpc,
# number of wavenumbers equal to 572
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.336824526554e-02       2.593196513515e+04 
       1.349719255511e-02       2.598044100081e+04 
       1.362617606888e-02       2.602662084350e+04 
       1.375519589637e-02       2.607054099435e+04 
       1.388425215054e-02       2.611219379623e+04 
       1.401334496739e-02       2.615162726248e+04 
       1.414247450562e-02       2.618887914100e+04 
       1.427164094624e-02       2.622395406512e+04 
       1.440084449233e-02       2.625689414014e+04 
       1.453008536872e-02       2.628772592378e+04 
       1.465936382179e-02       2.631646893936e+04 
       1.478868011923e-02       2.634317649785e+04 
       1.480253419385e-02       2.634591239262e+04 
       1.491803454989e-02       2.636785137662e+04 
       1.504742742361e-02       2.639054615098e+04 
       1.517685907110e-02       2.641126140769e+04 
       1.530632984383e-02       2.643003578876e+04 
       1.543584011397e-02       2.644689950626e+04 
       1.556539027431e-02       2.646186124281e+04 
       1.569498073826e-02       2.647497021302e+04 
       1.582461193980e-02       2.648621524136e+04 
       1.595428433354e-02       2.649563696164e+04 
       1.608399839469e-02       2.650326078681e+04 
       1.621375461918e-02       2.650907496321e+04 
       1.634355352367e-02       2.651314825420e+04 
       1.647339564568e-02       2.651548877865e+04 
       1.660328154369e-02       2.651611936148e+04 
       1.673321179724e-02       2.651508933520e+04 
       1.686318700712e-02       2.651240612795e+04 
       1.699320779547e-02       2.650808679785e+04 
       1.712327480604e-02       2.650214912218e+04 
       1.725338870431e-02       2.649464478978e+04 
       1.738355017775e-02       2.648555417405e+04 
       1.751375993603e-02       2.647493154008e+04 
       1.764401871129e-02       2.646278851131e+04 
       1.777432725836e-02       2.644915740301e+04 
       1.790468635509e-02       2.643401368625e+04 
       1.803509680262e-02       2.641738753959e+04 
       1.816555942570e-02       2.639942626694e+04 
       1.829607507301e-02       2.637995776190e+04 
       1.842664461752e-02       2.635914909298e+04 
       1.855726895686e-02       2.633694262838e+04 
       1.868794901367e-02       2.631337856285e+04 
       1.881868573605e-02       2.628852896854e+04 
       1.894948009792e-02       2.626234460117e+04 
       1.908033309946e-02       2.623488276521e+04 
       1.921124576762e-02       2.620613287130e+04 
       1.934221915651e-02       2.617614993249e+04 
       1.947325434792e-02       2.614495188075e+04 
       1.960435245183e-02       2.611251854616e+04 
       1.973551460693e-02       2.607893382820e+04 
       1.986674198114e-02       2.604414866424e+04 
       1.999803577221e-02       2.600820275223e+04 
       2.012939720825e-02       2.597114706263e+04 
       2.026082754838e-02       2.593300352607e+04 
       2.039232808331e-02       2.589371170170e+04 
       2.052390013601e-02       2.585339315215e+04 
       2.065554506237e-02       2.581197032973e+04 
       2.078726425187e-02       2.576958552013e+04 
       2.091905912828e-02       2.572611817106e+04 
       2.105093115044e-02       2.568168423335e+04 
       2.118288181296e-02       2.563626377493e+04 
       2.131491264700e-02       2.558986840096e+04 
       2.144702522112e-02       2.554253519878e+04 
       2.157922114206e-02       2.549423705362e+04 
       2.171150205562e-02       2.544509862561e+04 
       2.184386964754e-02       2.539499267374e+04 
       2.197632564439e-02       2.534404671792e+04 
       2.210887181452e-02       2.529224226277e+04 
       2.224150996904e-02       2.523954027945e+04 
       2.237424196280e-02       2.518604185071e+04 
       2.250706969541e-02       2.513177413060e+04 
       2.263999511233e-02       2.507666319368e+04 
       2.277302020593e-02       2.502080226127e+04 
       2.290614701666e-02       2.496418633697e+04 
       2.303937763416e-02       2.490683234763e+04 
       2.317271419850e-02       2.484856045758e+04 
       2.330615890140e-02       2.478975261045e+04 
       2.343971398752e-02       2.473027490576e+04 
       2.357338175575e-02       2.467007930515e+04 
       2.370716456060e-02       2.460913916159e+04 
       2.384106481359e-02       2.454759395373e+04 
       2.397508498468e-02       2.448542086338e+04 
       2.410922760378e-02       2.442259617992e+04 
       2.424349526229e-02       2.435916107309e+04 
       2.437789061469e-02       2.429511588758e+04 
       2.451241638015e-02       2.423051633127e+04 
       2.464707534428e-02       2.416535192091e+04 
       2.478187036083e-02       2.409959682982e+04 
       2.491680435354e-02       2.403333345488e+04 
       2.505188031796e-02       2.396650411020e+04 
       2.518710132342e-02       2.389918558579e+04 
       2.532247051500e-02       2.383137603041e+04 
       2.545799111558e-02       2.376305111167e+04 
       2.559366642799e-02       2.369425494781e+04 
       2.572949983721e-02       2.362499825762e+04 
       2.586549481263e-02       2.355533212185e+04 
       2.600165491040e-02       2.348517660266e+04 
       2.613798377589e-02       2.341458315921e+04 
       2.627448514617e-02       2.334362641233e+04 
       2.641116285265e-02       2.327220351389e+04 
       2.654802082375e-02       2.320043754273e+04 
       2.668506308772e-02       2.312827599998e+04 
       2.682229377548e-02       2.305573150489e+04 
       2.695971712367e-02       2.298288605422e+04 
       2.709733747773e-02       2.290966366401e+04 
       2.723515929510e-02       2.283604713216e+04 
       2.737318714856e-02       2.276221852318e+04 
       2.751142572969e-02       2.268805891022e+04 
       2.764987985243e-02       2.261355128232e+04 
       2.778855445682e-02       2.253875706264e+04 
       2.792745461282e-02       2.246368635873e+04 
       2.806658552435e-02       2.238834863447e+04 
       2.820595253338e-02       2.231273795718e+04 
       2.834556112430e-02       2.223693063203e+04 
       2.848541692836e-02       2.216084421561e+04 
       2.862552572832e-02       2.208449096942e+04 
       2.876589346327e-02       2.200799981917e+04 
       2.890652623370e-02       2.193117436742e+04 
       2.904743030666e-02       2.185429087731e+04 
       2.918861212123e-02       2.177708357751e+04 
       2.933007829415e-02       2.169973650084e+04 
       2.947183562571e-02       2.162221297360e+04 
       2.961389110586e-02       2.154449308563e+04 
       2.975625192060e-02       2.146667780971e+04 
       2.989892545861e-02       2.138869890016e+04 
       3.004191931819e-02       2.131054234469e+04 
       3.018524131444e-02       2.123222611204e+04 
       3.032889948681e-02       2.115380248294e+04 
       3.047290210694e-02       2.107528747048e+04 
